MP name	State	Political party	Educational qualifications	Age	Attendance
A. Ganeshamurthi	Tamil Nadu	Marumalarchi Dravida Munnetra Kazhagam	Graduate	65	72%
A.K.S. Vijayan	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	50	54%
A.T. Nana Patil	Maharashtra	Bharatiya Janata Party	Graduate	51	83%
Abdul Mannan Hossain	West Bengal	Indian National Congress	Graduate	59	59%
Abdul Rahman	Tamil Nadu	Dravida Munnetra Kazhagam	Post Graduate	53	66%
Abu Hasem Khan Choudhury	West Bengal	Indian National Congress	Graduate	74	77%
Adagooru H Vishwanath	Karnataka	Indian National Congress	Graduate	62	66%
Adhi Sankar	Tamil Nadu	Dravida Munnetra Kazhagam	Graduate	55	54%
Adhir Ranjan Chowdhury	West Bengal	Indian National Congress	Under Matric	56	82%
Agatha K. Sangma	Meghalaya	Nationalist Congress Party	Post Graduate	32	N/A
Ajay Kumar	Jharkhand	Jharkhand Vikas Morcha (Prajatantrik)	Professional Graduate	50	77%
Ajay Maken	Delhi	Indian National Congress	Graduate	48	N/A
Ajit Singh	Uttar Pradesh	Rashtriya Lok Dal	Post Graduate	73	44%
Akhilesh Yadav	Uttar Pradesh	Samajwadi Party	Post Graduate	39	53%
Amarnath Pradhan	Orissa	Indian National Congress	Graduate	54	84%
Ambica Banerjee	West Bengal	All India Trinamool Congress	Graduate	84	63%
Anand Prakash Paranjpe	Maharashtra	Shiv Sena	Post Graduate	39	64%
Anandrao Adsul	Maharashtra	Shiv Sena	Graduate	65	76%
Anant Gangaram Geete	Maharashtra	Shiv Sena	Matric	61	70%
Anant Kumar Hegde	Karnataka	Bharatiya Janata Party	Inter/ Higher Secondary	44	80%
Ananth Kumar	Karnataka	Bharatiya Janata Party	Graduate	53	87%
Anantha Venkatarami Reddy	Andhra Pradesh	Indian National Congress	Post Graduate	56	77%
Andimuthu Raja	Tamil Nadu	Dravida Munnetra Kazhagam	Post Graduate	49	14%
Anirudhan Sampath	Kerala	Communist Party of India (Marxist)	Post Graduate	50	78%
Annu Tandon	Uttar Pradesh	Indian National Congress	Graduate	54	94%
Anto Antony	Kerala	Indian National Congress	Graduate	55	88%
Anup Kumar Saha	West Bengal	Communist Party of India (Marxist)	Doctorate	56	90%
Anurag Singh Thakur	Himachal Pradesh	Bharatiya Janata Party	Graduate	37	83%
Arjun Charan Sethi	Orissa	Biju Janata Dal	Post Graduate	70	89%
Arjun Munda	Jharkhand	Bharatiya Janata Party	Graduate	44	43%
Arjun Ram Meghwal	Rajasthan	Bharatiya Janata Party	Post Graduate	58	99%
Arjun Roy	Bihar	Janata Dal (United)	Doctorate	40	91%
Arun Subhashchandra Yadav	Madhya Pradesh	Indian National Congress	Graduate	38	74%
Aruna Kumar Vundavalli	Andhra Pradesh	Indian National Congress	Graduate	58	100%
Arvind Kumar Chaudhary	Uttar Pradesh	Bahujan Samaj Party	Inter/ Higher Secondary	48	95%
Arvind Kumar Sharma	Haryana	Indian National Congress	Post Graduate	48	74%
Asaduddin Owaisi	Andhra Pradesh	All India Majlis-E-Ittehadul Muslimmen	Graduate	43	68%
Ashok Argal	Madhya Pradesh	Bharatiya Janata Party	Inter/ Higher Secondary	43	92%
Ashok Kumar Rawat	Uttar Pradesh	Bahujan Samaj Party	Post Graduate	36	85%
Ashok Tanwar	Haryana	Indian National Congress	Post Graduate	36	84%
Ashwamedh Devi	Bihar	Janata Dal (United)	Under Matric	44	89%
Asrarul Haque Mohammad	Bihar	Indian National Congress	Post Graduate	70	94%
Avtar Singh Bhadana	Haryana	Indian National Congress	Under Matric	54	50%
Awale Jaywant Gangaram	Maharashtra	Indian National Congress	Inter/ Higher Secondary	72	91%
Babu Lal Marandi	Jharkhand	Jharkhand Vikas Morcha (Prajatantrik)	Graduate	54	29%
Badri Ram Jakhar	Rajasthan	Indian National Congress	Under Matric	60	89%
Badruddin Ajmal	Assam	Assam United Democratic Front	Post Graduate	62	52%
Baidyanath Prasad Mahto	Bihar	Janata Dal (United)	Matric	65	91%
Baijayant Jay Panda	Orissa	Biju Janata Dal	Graduate	48	63%
Baju Ban Riyan	Tripura	Communist Party of India (Marxist)	Graduate	71	84%
Bal Kumar Patel	Uttar Pradesh	Samajwadi Party	Inter/ Higher Secondary	48	84%
Baliram	Uttar Pradesh	Bahujan Samaj Party	Doctorate	58	93%
Baliram Kashyap	Chhattisgarh	Bharatiya Janata Party	Under Matric	76	1%
Balkrishna Khanderao Shukla	Gujarat	Bharatiya Janata Party	Post Graduate	49	70%
Bansagopal Chowdhury	West Bengal	Communist Party of India (Marxist)	Graduate	52	69%
Bapiraju Kanumuri	Andhra Pradesh	Indian National Congress	Inter/ Higher Secondary	65	90%
Basori Singh Masram	Madhya Pradesh	Indian National Congress	Under Matric	66	85%
Basudeb Acharia	West Bengal	Communist Party of India (Marxist)	Post Graduate	70	88%
Beni Prasad Verma	Uttar Pradesh	Indian National Congress	Graduate	71	99%
Bhajan Lal	Haryana	Haryana Janhit Congress	Inter/ Higher Secondary	81	39%
Bhakta Charan Das	Orissa	Indian National Congress	Graduate	53	89%
Bharat Ram Meghwal	Rajasthan	Indian National Congress	Graduate	56	91%
Bharatsinh Madhavsinh Solanki	Gujarat	Indian National Congress	Graduate	58	N/A
Bhartruhari Mahtab	Orissa	Biju Janata Dal	Post Graduate	55	93%
Bhavana Pundlikrao Gawali Patil	Maharashtra	Shiv Sena	Graduate	40	69%
"Bhismashankar, Alias Kushal Tiwari"	Uttar Pradesh	Bahujan Samaj Party	Inter/ Higher Secondary	51	79%
Bhola Singh	Bihar	Bharatiya Janata Party	Doctorate	77	94%
Bhoopendra Singh	Madhya Pradesh	Bharatiya Janata Party	Graduate	52	77%
Bhudeo Choudhary	Bihar	Janata Dal (United)	Graduate	52	87%
Bibhu Prasad Tarai	Orissa	Communist Party of India	Post Graduate	48	83%
Bijoy Krishna Handique	Assam	Indian National Congress	Post Graduate	77	89%
Bijoya Chakravarty	Assam	Bharatiya Janata Party	Post Graduate	72	85%
Biren Singh Engti	Assam	Indian National Congress	Post Graduate	67	95%
Bishnu Pada Ray	Andaman and Nicobar Islands	Bharatiya Janata Party	Graduate	62	77%
Brij Bhushan Sharan Singh	Uttar Pradesh	Samajwadi Party	Post Graduate	55	86%
C. L. Ruala	Mizoram	Indian National Congress	Post Graduate	76	97%
C. M. Chang	Nagaland	Nagaland People's Front	Graduate	69	92%
C. P. Joshi	Rajasthan	Indian National Congress	Doctorate	62	N/A
C. R. Patil	Gujarat	Bharatiya Janata Party	Certificate Course	57	84%
